City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,souillac,-20.5167,57.5167,26.21,69,40,3.09,MU,1676227239
1,claveria,18.6074,121.0832,22.97,86,3,2.72,PH,1676227239
2,vaini,-21.2,-175.2,25.09,94,75,2.06,TO,1676227240
3,puerto leguizamo,-0.1934,-74.7819,32.93,46,55,1.62,CO,1676227240
4,barrow,71.2906,-156.7887,-26.99,76,0,6.69,US,1676227241
5,kutum,14.2,24.6667,20.01,18,0,4.4,SD,1676227241
6,hermanus,-34.4187,19.2345,22.11,77,69,2.69,ZA,1676227241
7,cape town,-33.9258,18.4232,22.16,82,75,7.2,ZA,1676227226
8,punta arenas,-53.15,-70.9167,10.06,62,20,10.29,CL,1676227060
9,saint george,37.1041,-113.5841,10.7,35,0,1.54,US,1676227242
10,puerto ayora,-0.7393,-90.3518,29.98,86,93,3.13,EC,1676227243
11,bredasdorp,-34.5322,20.0403,23.61,63,66,2.76,ZA,1676227243
12,meybod,32.2501,54.0166,7.01,50,100,1.69,IR,1676227243
13,daru,-9.0763,143.2092,25.2,85,100,4.78,PG,1676227244
14,aykhal,66.0,111.5,-28.25,100,27,1.94,RU,1676227244
15,jamestown,42.097,-79.2353,9.73,33,0,2.57,US,1676227244
16,lalin,42.7167,-8.1167,10.03,73,45,2.02,ES,1676227038
17,ushuaia,-54.8,-68.3,11.79,54,75,6.17,AR,1676227245
18,salym,60.0625,71.4789,-14.79,95,100,3.46,RU,1676227245
19,rikitea,-23.1203,-134.9692,25.58,69,13,0.95,PF,1676227246
20,rorvik,64.8621,11.2373,6.06,70,75,6.17,NO,1676227246
21,mandera,3.9366,41.867,29.65,16,0,4.98,KE,1676227247
22,plettenberg bay,-34.0527,23.3716,20.29,89,0,1.82,ZA,1676227247
23,yellowknife,62.456,-114.3525,-19.69,77,75,1.03,CA,1676227248
24,busselton,-33.65,115.3333,14.69,77,0,4.66,AU,1676227248
25,oranjemund,-28.55,16.4333,18.48,88,0,2.71,NA,1676227248
26,comodoro rivadavia,-45.8667,-67.5,19.92,22,0,6.69,AR,1676227249
27,asau,46.4333,26.4,-0.49,94,26,1.97,RO,1676227249
28,port said,31.2565,32.2841,14.24,48,100,4.02,EG,1676227249
29,shingu,33.7333,135.9833,10.39,93,100,0.63,JP,1676227250
30,praia,14.9215,-23.5087,23.3,46,75,7.72,CV,1676227250
31,yining,29.0361,114.5636,8.21,93,100,1.61,CN,1676227250
32,kapaa,22.0752,-159.319,23.18,79,75,9.26,US,1676227251
